Vendor Code,Company,County,Address,City,State,Zip
54358,D&R OFFICE WORKS INC,In LA County,9956 BALDWIN PL.,EL MONTE,California,91731
201591,"PRIMESTOR DEVELOPMENT, LLC",In LA County,9950 JEFFERSON BLVD STE 2,CULVER CITY,California,90232
181262,"SYBMAN, INC",In LA County,9911 GIDLEY STREET,EL MONTE,California,91731
189244,CS INC,In LA County,9900 BELL RANCH DR STE 105,SANTA FE SPRINGS,California,90670
204063,STC INTERPRETING INC.,In LA County,9854 NATIONAL BLVD # 359,LOS ANGELES,California,90034
191381,NEXT LEVEL HVAC ENERGY MANAGEMENT SYSTEMS,In LA County,9834 NORWALK BLVD,SANTA FE SPRINGS,California,90670
125356,SOURCEONE OFFICE PRODUCTS INC,In LA County,9812 ALBURTIS AVE,SANTA FE SPGS,California,90670
184191,KOREAN AMERICAN FEDERATION OF LOS ANGELES,In LA County,981 S WESTERN AVE,LOS ANGELES,California,90006
183355,LUIS GOMEZ,In LA County,9760 JERSEY AVE APT 171,SANTA FE SPGS,California,90670
173664,SIMPLY KLEEN USA INC,In LA County,9734 VARIEL AVE,CHATSWORTH,California,91311
175156,ASAP AUTO PARTS,In LA County,9714 ARTESIA BLVD,BELLFLOWER,California,90706
165523,"B.I.G. ENTERPRISES, INC.",In LA County,9702 E. RUSH STREET,S. EL MONTE,California,91733
155573,AIM CONSULTING SERVICES,In LA County,970 S VILLAGE OAKS DRIVE STE 205,COVINA,California,91724
155573,AIM CONSULTING SERVICES,In LA County,970 S VILLAGE OAKS DR STE 205,COVINA,California,91724
155573,AIM CONSULTING SERVICES,In LA County,970 S VILLAGE OAKS DR STE 205,COVINA,California,91724
141211,"CRIME SCENE STERI-CLEAN, LLC",Outside of LA County,9624 HERMOSA AVE,RCH CUCAMONGA,California,91730
169936,"SOTERIA HOME HEALTH AGENCY, INC",In LA County,959 N. LA BREA AVENUE,INGLEWOOD,California,90302
170101,KEVIN S ANDERSON,In LA County,9530 ARTESIA BLVD #24,BELLFLOWER,California,90706
120465,"ECOLINE INDUSTRIAL SUPPLY, INC",In LA County,9520 OWENSMOUTH AVE STE 3,CHATSWORTH,California,91311
206005,C323 INC,In LA County,9519 VAN NUYS BLVD,PANORAMA CITY,California,91402
103355,YWCA OF SAN GABRIEL VALLEY,In LA County,943 NORTH GRAND AVENUE,COVINA,California,91724
198172,US ELECTRIC MOTORS SALES,In LA County,9420 STEWART AND GRAY RD,DOWNEY,California,90241
39727,CHEM PRO LABORATORY INC,In LA County,941 W. 190TH ST.,GARDENA,California,90248
175306,"CLARITI EYEWEAR, INC.",In LA County,940 AJAX AVE.,CITY OF INDUSTRY,California,91748
165497,"MW LOYD, INC.",In LA County,9363 HANNA AVE.,CHATSWORTH,California,91311
175395,NATHAN A CLEAVER,Outside of LA County,9362 PARKSTONE CIRCLE,ROSEVILLE,California,95747
204937,NATHAN CLEAVER,Outside of LA County,9362 PARKSTONE CIR,ROSEVILLE,California,95747
174216,INTEGRATED IMAGE INC,In LA County,9301 OAKDALE AVE #330,CHATSWORTH,California,91311
114811,PPC CONSTRUCTION INC,In LA County,"930 COLORADO BLVD., SUITE 3",LOS ANGELES,California,90041
