,Vendor Code,Company,County,City,Zip,Vendor_Address,lat,lon,geometry
0,54358,D&R OFFICE WORKS INC,In LA County,EL MONTE,91731,"9956  BALDWIN PL., EL MONTE, CA, 91731",34.0710498,-118.0526633,POINT (-118.0526633 34.0710498)
1,201591,"PRIMESTOR DEVELOPMENT, LLC",In LA County,CULVER CITY,90232,"9950  JEFFERSON BLVD , CULVER CITY, CA, 90232",34.0111864,-118.3897509,POINT (-118.3897509 34.0111864)
2,181262,"SYBMAN, INC",In LA County,EL MONTE,91731,"9911  GIDLEY STREET, EL MONTE, CA, 91731",34.0855759,-118.0514925,POINT (-118.0514925 34.0855759)
3,189244,CS INC,In LA County,SANTA FE SPRINGS,90670,"9900  BELL RANCH DR , SANTA FE SPRINGS, CA, 90670",33.9499496,-118.0683831,POINT (-118.0683831 33.9499496)
4,204063,STC INTERPRETING INC.,In LA County,LOS ANGELES,90034,"9854  NATIONAL BLVD , LOS ANGELES, CA, 90034",34.0313027,-118.4001463,POINT (-118.4001463 34.0313027)
5,191381,NEXT LEVEL HVAC ENERGY MANAGEMENT SYSTEMS,In LA County,SANTA FE SPRINGS,90670,"9834  NORWALK BLVD, SANTA FE SPRINGS, CA, 90670",33.9485997,-118.0725808,POINT (-118.0725808 33.9485997)
6,125356,SOURCEONE OFFICE PRODUCTS INC,In LA County,SANTA FE SPGS,90670,"9812  ALBURTIS AVE, SANTA FE SPGS, CA, 90670",,,POINT (NaN NaN)
7,184191,KOREAN AMERICAN FEDERATION OF LOS ANGELES,In LA County,LOS ANGELES,90006,"981  S WESTERN AVE, LOS ANGELES, CA, 90006",34.0531823,-118.3091539,POINT (-118.3091539 34.0531823)
8,183355,LUIS GOMEZ,In LA County,SANTA FE SPGS,90670,"9760  JERSEY AVE , SANTA FE SPGS, CA, 90670",,,POINT (NaN NaN)
9,173664,SIMPLY KLEEN USA INC,In LA County,CHATSWORTH,91311,"9734  VARIEL AVE, CHATSWORTH, CA, 91311",34.2470554,-118.592825,POINT (-118.592825 34.2470554)
10,175156,ASAP AUTO PARTS,In LA County,BELLFLOWER,90706,"9714  ARTESIA BLVD, BELLFLOWER, CA, 90706",33.874741,-118.1269573,POINT (-118.1269573 33.874741)
11,165523,"B.I.G. ENTERPRISES, INC.",In LA County,S. EL MONTE,91733,"9702  E. RUSH STREET, S. EL MONTE, CA, 91733",,,POINT (NaN NaN)
12,155573,AIM CONSULTING SERVICES,In LA County,COVINA,91724,"970  S VILLAGE OAKS DRIVE , COVINA, CA, 91724",34.0713559,-117.8632773,POINT (-117.8632773 34.0713559)
13,155573,AIM CONSULTING SERVICES,In LA County,COVINA,91724,"970  S VILLAGE OAKS DR , COVINA, CA, 91724",34.0713559,-117.8632773,POINT (-117.8632773 34.0713559)
14,155573,AIM CONSULTING SERVICES,In LA County,COVINA,91724,"970  S VILLAGE OAKS DR , COVINA, CA, 91724",34.0713559,-117.8632773,POINT (-117.8632773 34.0713559)
15,141211,"CRIME SCENE STERI-CLEAN, LLC",Outside of LA County,RCH CUCAMONGA,91730,"9624  HERMOSA AVE, RCH CUCAMONGA, CA, 91730",,,POINT (NaN NaN)
16,169936,"SOTERIA HOME HEALTH AGENCY, INC",In LA County,INGLEWOOD,90302,"959  N. LA BREA AVENUE, INGLEWOOD, CA, 90302",33.9755355,-118.3577138,POINT (-118.3577138 33.9755355)
17,170101,KEVIN S ANDERSON,In LA County,BELLFLOWER,90706,"9530  ARTESIA BLVD , BELLFLOWER, CA, 90706",33.8747267,-118.1305705,POINT (-118.1305705 33.8747267)
18,120465,"ECOLINE INDUSTRIAL SUPPLY, INC",In LA County,CHATSWORTH,91311,"9520  OWENSMOUTH AVE , CHATSWORTH, CA, 91311",34.2432063,-118.6021947,POINT (-118.6021947 34.2432063)
19,206005,C323 INC,In LA County,PANORAMA CITY,91402,"9519  VAN NUYS BLVD, PANORAMA CITY, CA, 91402",34.243285,-118.450418,POINT (-118.450418 34.243285)
20,103355,YWCA OF SAN GABRIEL VALLEY,In LA County,COVINA,91724,"943  NORTH GRAND AVENUE, COVINA, CA, 91724",34.0963214,-117.8727266,POINT (-117.8727266 34.0963214)
21,198172,US ELECTRIC MOTORS SALES,In LA County,DOWNEY,90241,"9420  , DOWNEY, CA, 90241",33.9577193,-118.1207202,POINT (-118.1207202 33.9577193)
22,39727,CHEM PRO LABORATORY INC,In LA County,GARDENA,90248,"941  W. 190TH ST., GARDENA, CA, 90248",,,POINT (NaN NaN)
23,175306,"CLARITI EYEWEAR, INC.",In LA County,CITY OF INDUSTRY,91748,"940  AJAX AVE., CITY OF INDUSTRY, CA, 91748",34.0022914,-117.9135358,POINT (-117.9135358 34.0022914)
