,Vendor Code,Company,County,City,Zip,Vendor_Address,lat,lon
0,54358,D&R OFFICE WORKS INC,In LA County,EL MONTE,91731,"9956  BALDWIN PL., EL MONTE, CA, 91731",34.0710498,-118.0526633
1,201591,"PRIMESTOR DEVELOPMENT, LLC",In LA County,CULVER CITY,90232,"9950  JEFFERSON BLVD , CULVER CITY, CA, 90232",34.0111864,-118.3897509
2,181262,"SYBMAN, INC",In LA County,EL MONTE,91731,"9911  GIDLEY STREET, EL MONTE, CA, 91731",34.0855759,-118.0514925
3,189244,CS INC,In LA County,SANTA FE SPRINGS,90670,"9900  BELL RANCH DR , SANTA FE SPRINGS, CA, 90670",33.9499496,-118.0683831
4,204063,STC INTERPRETING INC.,In LA County,LOS ANGELES,90034,"9854  NATIONAL BLVD , LOS ANGELES, CA, 90034",34.0313027,-118.4001463
5,191381,NEXT LEVEL HVAC ENERGY MANAGEMENT SYSTEMS,In LA County,SANTA FE SPRINGS,90670,"9834  NORWALK BLVD, SANTA FE SPRINGS, CA, 90670",33.9485997,-118.0725808
6,125356,SOURCEONE OFFICE PRODUCTS INC,In LA County,SANTA FE SPGS,90670,"9812  ALBURTIS AVE, SANTA FE SPGS, CA, 90670",,
7,184191,KOREAN AMERICAN FEDERATION OF LOS ANGELES,In LA County,LOS ANGELES,90006,"981  S WESTERN AVE, LOS ANGELES, CA, 90006",34.0531823,-118.3091539
8,183355,LUIS GOMEZ,In LA County,SANTA FE SPGS,90670,"9760  JERSEY AVE , SANTA FE SPGS, CA, 90670",,
9,173664,SIMPLY KLEEN USA INC,In LA County,CHATSWORTH,91311,"9734  VARIEL AVE, CHATSWORTH, CA, 91311",34.2470554,-118.592825
10,175156,ASAP AUTO PARTS,In LA County,BELLFLOWER,90706,"9714  ARTESIA BLVD, BELLFLOWER, CA, 90706",33.874741,-118.1269573
11,165523,"B.I.G. ENTERPRISES, INC.",In LA County,S. EL MONTE,91733,"9702  E. RUSH STREET, S. EL MONTE, CA, 91733",,
12,155573,AIM CONSULTING SERVICES,In LA County,COVINA,91724,"970  S VILLAGE OAKS DRIVE , COVINA, CA, 91724",34.0713559,-117.8632773
13,155573,AIM CONSULTING SERVICES,In LA County,COVINA,91724,"970  S VILLAGE OAKS DR , COVINA, CA, 91724",34.0713559,-117.8632773
14,155573,AIM CONSULTING SERVICES,In LA County,COVINA,91724,"970  S VILLAGE OAKS DR , COVINA, CA, 91724",34.0713559,-117.8632773
15,141211,"CRIME SCENE STERI-CLEAN, LLC",Outside of LA County,RCH CUCAMONGA,91730,"9624  HERMOSA AVE, RCH CUCAMONGA, CA, 91730",,
16,169936,"SOTERIA HOME HEALTH AGENCY, INC",In LA County,INGLEWOOD,90302,"959  N. LA BREA AVENUE, INGLEWOOD, CA, 90302",33.9755355,-118.3577138
