Vendor Code,Company,Address,City,County,State,Zip
54358,D&R OFFICE WORKS INC,9956 BALDWIN PL.,EL MONTE,In LA County,California,91731
201591,"PRIMESTOR DEVELOPMENT, LLC",9950 JEFFERSON BLVD STE 2,CULVER CITY,In LA County,California,90232
181262,"SYBMAN, INC",9911 GIDLEY STREET,EL MONTE,In LA County,California,91731
189244,CS INC,9900 BELL RANCH DR STE 105,SANTA FE SPRINGS,In LA County,California,90670
204063,STC INTERPRETING INC.,9854 NATIONAL BLVD # 359,LOS ANGELES,In LA County,California,90034
191381,NEXT LEVEL HVAC ENERGY MANAGEMENT SYSTEMS,9834 NORWALK BLVD,SANTA FE SPRINGS,In LA County,California,90670
125356,SOURCEONE OFFICE PRODUCTS INC,9812 ALBURTIS AVE,SANTA FE SPGS,In LA County,California,90670
184191,KOREAN AMERICAN FEDERATION OF LOS ANGELES,981 S WESTERN AVE,LOS ANGELES,In LA County,California,90006
183355,LUIS GOMEZ,9760 JERSEY AVE APT 171,SANTA FE SPGS,In LA County,California,90670
173664,SIMPLY KLEEN USA INC,9734 VARIEL AVE,CHATSWORTH,In LA County,California,91311
175156,ASAP AUTO PARTS,9714 ARTESIA BLVD,BELLFLOWER,In LA County,California,90706
165523,"B.I.G. ENTERPRISES, INC.",9702 E. RUSH STREET,S. EL MONTE,In LA County,California,91733
155573,AIM CONSULTING SERVICES,970 S VILLAGE OAKS DRIVE STE 205,COVINA,In LA County,California,91724
155573,AIM CONSULTING SERVICES,970 S VILLAGE OAKS DR STE 205,COVINA,In LA County,California,91724
155573,AIM CONSULTING SERVICES,970 S VILLAGE OAKS DR STE 205,COVINA,In LA County,California,91724
141211,"CRIME SCENE STERI-CLEAN, LLC",9624 HERMOSA AVE,RCH CUCAMONGA,Outside of LA County,California,91730
169936,"SOTERIA HOME HEALTH AGENCY, INC",959 N. LA BREA AVENUE,INGLEWOOD,In LA County,California,90302
170101,KEVIN S ANDERSON,9530 ARTESIA BLVD #24,BELLFLOWER,In LA County,California,90706
120465,"ECOLINE INDUSTRIAL SUPPLY, INC",9520 OWENSMOUTH AVE STE 3,CHATSWORTH,In LA County,California,91311
206005,C323 INC,9519 VAN NUYS BLVD,PANORAMA CITY,In LA County,California,91402
103355,YWCA OF SAN GABRIEL VALLEY,943 NORTH GRAND AVENUE,COVINA,In LA County,California,91724
198172,US ELECTRIC MOTORS SALES,9420 STEWART AND GRAY RD,DOWNEY,In LA County,California,90241
39727,CHEM PRO LABORATORY INC,941 W. 190TH ST.,GARDENA,In LA County,California,90248
175306,"CLARITI EYEWEAR, INC.",940 AJAX AVE.,CITY OF INDUSTRY,In LA County,California,91748
165497,"MW LOYD, INC.",9363 HANNA AVE.,CHATSWORTH,In LA County,California,91311
175395,NATHAN A CLEAVER,9362 PARKSTONE CIRCLE,ROSEVILLE,Outside of LA County,California,95747
204937,NATHAN CLEAVER,9362 PARKSTONE CIR,ROSEVILLE,Outside of LA County,California,95747
174216,INTEGRATED IMAGE INC,9301 OAKDALE AVE #330,CHATSWORTH,In LA County,California,91311
114811,PPC CONSTRUCTION INC,"930 COLORADO BLVD., SUITE 3",LOS ANGELES,In LA County,California,90041
204723,AZARLY LLC,930 CALIFORNIA AVE UNIT 201,SANTA MONICA,In LA County,California,90403
142457,DEVON DORSEY,926 N WILMINGTON BL UNIT 23,WILMINGTON,In LA County,California,90744
189782,FEDERAL ONE SUPPLIES LLC,9253 1/2 CEDROS AVE,PANORAMA CITY,In LA County,California,91402
189782,FEDERAL ONE SUPPLIES LLC,9253 1/2 CEDROS AVE,PANORAMA CITY,In LA County,California,91402
520500,ADVANCED BATTERY SYSTEMS,925 W HYDE PARK BLVD,INGLEWOOD,In LA County,California,90302
62833,MIRON ELECTRIC CONSTR CORP,9238 DEERING AVE,CHATSWORTH,In LA County,California,91311
199939,PRECISION FORKLIFT SERVICE AND PARTS LLC,9226 LAUREL AVE,WHITTIER,In LA County,California,90605
35048,DAN MCCOMB,922 WEST HYDE PARK BLVD,INGLEWOOD,In LA County,California,90302
155062,UNITED GARAGE DOORS & GATES,9213 WILLIS AVE.,PANORAMA CITY,In LA County,California,91402
185258,SECURITY OPERATIONS GROUP INTERNATIONAL LLC,921 N. HARBOR BLVD,LA HABRA,Outside of LA County,California,90631
60044,MICHAEL E. POWERS & ASSOCIATES,918 W FOOTHILL BLVD,AZUSA,In LA County,California,91702
203713,GEORGE RIZKALLA,9171 WILSHIRE BLVD STE 500,BEVERLY HILLS,In LA County,California,90210
149653,TRAINING CONNECTION LLC,915 WILSHIRE BLVD SUITE 1800,LOS ANGELES,In LA County,California,90017
177589,"WENMAR, INC.",9132 JORDAN AVE,CHATSWORTH,In LA County,California,91311
165560,LORENA O CARMACK,9130 EGLISE AVE,DOWNEY,In LA County,California,90240
517390,SUPERIOR PROPERTY SERVICES INC,9129 PERKINS STREET,PICO RIVERA,In LA County,California,90660
186443,BE SOCIAL PRODUCTIONS,9100 WILSHIRE BLVD,BEVERLY HILLS,In LA County,California,90212
210380,PROLIFIC STYLES LLC,9100 S SEPULVEDA BLVD,LOS ANGELES,In LA County,California,90045
175228,"BUSINESS U, INC.",907 WESTWOOD BLVD,LOS ANGELES,In LA County,California,90024
501216,"SPECIAL SERVICE FOR GROUPS, INC.",905 E. 8TH STREET,LOS ANGELES,In LA County,California,90021
501216,"SPECIAL SERVICE FOR GROUPS, INC.",905 E. 8TH ST,LOS ANGELES,In LA County,California,90021
501216,"SPECIAL SERVICE FOR GROUPS, INC.",905 E 8TH STREET,LOS ANGELES,In LA County,California,90021
156649,AAPI EQUITY ALLIANCE,905 E 8TH ST,LOS ANGELES,In LA County,California,90021
501216,"SPECIAL SERVICE FOR GROUPS, INC.",905 E 8TH ST,LOS ANGELES,In LA County,California,90021
501216,"SPECIAL SERVICE FOR GROUPS, INC.",905 E 8TH ST,LOS ANGELES,In LA County,California,90021
193817,JLE PAINTING,904 E MOUNTAIN VIEW TER,ALHAMBRA,In LA County,California,91801
208927,TOURBILLON ENTERPRISES LLC,9038 GARVEY AVENUE,ROSEMEAD,In LA County,California,91770
208927,TOURBILLON ENTERPRISES LLC,9038 GARVEY AVE,ROSEMEAD,In LA County,California,91770
37388,"FERBAK, INC.",9030 BALBOA BLVD,NORTHRIDGE,In LA County,California,91325
159004,LOGIXSERVICE INC,903 CALLE AMANECER STE 125,SAN CLEMENTE,Outside of LA County,California,92673
159004,LOGIXSERVICE INC,903 CALLE AMANACER STE 125,SAN CLEMENTE,Outside of LA County,California,92673
205655,"INNOVATIVE WORKPLACE SOLUTIONS, LLC",8943 COLLETT AVE,NORTH HILLS,In LA County,California,91343
118932,APPLIED ENGINEERING CONCEPTS,894 N FAIR OAKS AVE,PASADENA,In LA County,California,91103
46786,"PATTEN ENERGY ENTERPRISES, INC",8939 S SEPULVEDA BLVD STE 514,LOS ANGELES,In LA County,California,90045
177581,POLYCHROME CONSTRUCTION INC,8908 BALBOA BLVD,NORTHRIDGE,In LA County,California,91325
163451,CSDA DESIGN GROUP INC,889 N DOUGLAS STREET,EL SEGUNDO,In LA County,California,90245
163451,CSDA DESIGN GROUP INC,889 N DOUGLAS ST,EL SEGUNDO,In LA County,California,90245
111511,APSI CONSTRUCTION MANAGEMENT,8885 RESEARCH DR,IRVINE,Outside of LA County,California,92618
43302,VALLEY CONSTRUCTION SUPPLY INC,888 E AVENUE L 4,LANCASTER,In LA County,California,93535
194581,OCMI,8851 RESEARCH DR,IRVINE,Outside of LA County,California,92618
182836,"ADVANCED MICROSYSTEMS GROUP, INC.",8816 S SEPULVEDA BLVD,LOS ANGELES,In LA County,California,90045
190398,KEITH JACKSON ENTERPRISES INC,8780 19TH ST,RCH CUCAMONGA,Outside of LA County,California,91701
167823,"AIR BALANCE CO., INC.",874 S VILLAGE OAKS DR,COVINA,In LA County,California,91724
117868,MAURER MARINE INC.,873 W. 17TH ST.,COSTA MESA,Outside of LA County,California,92627
182164,PG CUTTING SERVICES,8650 SOMERSET BLVD,PARAMOUNT,In LA County,California,90723
182164,PG CUTTING SERVICES,8650 SOMERSET BLVD,PARAMOUNT,In LA County,California,90723
190811,BAYINFOTECH,8605 SANTA MONICA BLVD,W HOLLYWOOD,In LA County,California,90069
202781,"PHONES USA, INC.",8592 VENICE BLVD,LOS ANGELES,In LA County,California,90034
513782,DAVID RAYBOULD,8552 AQUEDUCT AVE.,NORTH HILLS,In LA County,California,91343
201043,THINKLOGIC INC,855 N DOUGLAS ST,EL SEGUNDO,In LA County,California,90245
194037,HORIZON DESIGN INTERNATIONAL LLC,8549 WILSHIRE BLVD #1108,BEVERLY HILLS,In LA County,California,90211
163141,BRILLIANT CORNERS,854 FOLSOM ST,SAN FRANCISCO,Outside of LA County,California,94107
171823,ARDO A VARDANYAN,8532 VINE VALLEY DR,SUN VALLEY,In LA County,California,91352
168704,ZSM CORP.,8512 HELMAND DR,WINNETKA,In LA County,California,91306
180362,"DURA BRANDS, INC.",851 MERIDIAN ST,DUARTE,In LA County,California,91010
164801,BBC ELECTRIC INC.,850 W FOOTHILL BLVD STE 20,AZUSA,In LA County,California,91702
127786,TELENET VOIP INC,850 PARKVIEW DRIVE NORTH,EL SEGUNDO,In LA County,California,90245
125062,"GOLD ARC, INC.",848 TOWNE CENTER DRIVE,POMONA,In LA County,California,91767
176990,LOS ANGELES CHEMICAL COMPANY,845 SANDHILL AVE,CARSON,In LA County,California,90746
117198,HARRIS OFFICE PRODUCTS,8441 CANOGA AVE,CANOGA PARK,In LA County,California,91304
191804,YOUTH MENTORING CONNECTION,8407 S VERMONT AVE,LOS ANGELES,In LA County,California,90044
169691,GC GREEN INCORPORATED,837 TIGER TAIL RD,VISTA,Outside of LA County,California,92084
186163,TRANSPACIFIC ENVIRONMENTAL SERVICES INC,837 BROWNING PLACE,MONTEREY PARK,In LA County,California,91755
143231,ARMANDO ZUBIA,8345 CRAVELL AVE,PICO RIVERA,In LA County,California,90660
195083,PASSAGE ENTERTAINMENT INC.,8345 CRAVELL AVE,PICO RIVERA,In LA County,California,90660
202445,AUTOMATED GATE SUPPLY INC,8323 LANKERSHIM BLVD,N HOLLYWOOD,In LA County,California,91605
137235,JAMES ADAM TUCKER,830 N PASADENA AVE,PASADENA,In LA County,California,91103
185659,"LA TRUCK & AUTO, INC.",825 E WASHINGTON BLVD,LOS ANGELES,In LA County,California,90021
168442,HOLOS INC,"8221 LG, LP",N HOLLYWOOD,In LA County,California,91606
119972,SPECTRUM ENVIRONMENTAL SERVICE,8216 LANKERSHIM BLVD STE 12,N HOLLYWOOD,In LA County,California,91605
166791,"ROSE EQUIPMENT REPAIR, INC.",8143 SECURA WAY,SANTA FE SPGS,In LA County,California,90670
165245,SAN FERNANDO VALLEY ALARM INC,8111 SAN FERNANDO RD,SUN VALLEY,In LA County,California,91352
118321,ACE ATTORNEY SERVICE INC,811 WILSHIRE BLVD STE 900,LOS ANGELES,In LA County,California,90017
183665,"SUNLIGHT MEDIA, LLC",811 W 7TH ST STE 933,LOS ANGELES,In LA County,California,90017
109274,"IMPACT SCIENCES, INC",811 W 7TH ST STE 200,LOS ANGELES,In LA County,California,90017
52182,FAST DEER BUS CHARTER INC,8105 SLAUSON AVE,MONTEBELLO,In LA County,California,90640
511468,POWERS BROS MACHINE INC,8100 SLAUSON AVE.,MONTEBELLO,In LA County,California,90640
165245,SAN FERNANDO VALLEY ALARM INC,804 PICO ST,SAN FERNANDO,In LA County,California,91340
165245,SAN FERNANDO VALLEY ALARM INC,804 PICO ST,SAN FERNANDO,In LA County,California,91340
184822,SERVICE CONNECTED INC,8039 HEMET PL,LOS ANGELES,In LA County,California,90046
173299,F.S.O.C. LLC,803 EUCALYPTUS DR,EL SEGUNDO,In LA County,California,90245
182010,ESTOLANO ADVISORS,801 S. GRAND AVE,LOS ANGELES,In LA County,California,90017
196209,BETTER WORLD GROUP ADVISORS,801 S GRAND AVE STE 200,LOS ANGELES,In LA County,California,90017
182010,ESTOLANO ADVISORS,801 S GRAND AVE,LOS ANGELES,In LA County,California,90017
210395,"KB ELECTRIC MOTORS, LLC",801 E 8TH ST,LOS ANGELES,In LA County,California,90021
111107,THE WALL LAS MEMORIAS PROJECT,800 W 6TH ST,LOS ANGELES,In LA County,California,90017
124955,KAL KRISHNAN CONSULTING,"800 S. FIGUEROA ST., SUITE 1210",LOS ANGELES,In LA County,California,90017
59817,RAW INTERNATIONAL,800 S FIGUEROA ST,LOS ANGELES,In LA County,California,90017
173356,"ESSENTIAL CARES SUPPLIES, INC.",795 EAST WASHINGTON BLVD.,LOS ANGELES,In LA County,California,90021
186048,VETERANS FIRST SUPPLY INC,7946 N MAPLE AVE STE 103,FRESNO,Outside of LA County,California,93720
55539,M&M PAPER CO.,7915 RUFFNER AVE,VAN NUYS,In LA County,California,91406
513990,L.A. FAMILY HOUSING CORP,7843 LANKERSHIM BLVD.,NORTH HOLLYWOOD,In LA County,California,91605
160471,"AMERICAN WIRE, INC.",784 S LUGO AVE,SN BERNRDNO,Outside of LA County,California,92408
161153,JOE MELENDEZ,7822 WHITSETT AVE,LOS ANGELES,In LA County,California,90001
109365,"T & M PROJECTS, INC.",780 W. CHANNEL ST.,SAN PEDRO,In LA County,California,90731
161594,"ENERGY OPTIONS, INC.",7720 MADISON ST.,PARAMOUNT,In LA County,California,90723
166214,"OMEGA GRAPHICS PRINTING, INC.",7710 KESTER AVENUE,VAN NUYS,In LA County,California,91405
202270,"PRIORITY AIRLESS EQUIPMENT, INC.",7702 BALBOA BLVD,VAN NUYS,In LA County,California,91406
503706,CHINATOWN SERVICE CENTER,767 N. HILL ST.,LOS ANGELES,In LA County,California,90012
5316,GENERAL INDUSTRIAL TOOL & SUPPLY INC,7645 SAN FERNANDO RD,BURBANK,In LA County,California,91505
149632,"COMPUTER CONDIMENTS, INC.","7618 WOODMAN AVE., SUITE 6",PANORAMA CITY,In LA County,California,91402
179973,TECHNION CONTRACTORS TCI INC.,7618 JELLICO AVE,NORTHRIDGE,In LA County,California,91325
31896,RAYVERN LIGHTING SUPPLY CO,7617 SOMERST BLVD,PARAMOUNT,In LA County,California,90723
167174,"MONET CONSTRUCTION, INC",7610 DAY STREET,TUJUNGA,In LA County,California,91042
503065,FIVE ACRES-THE BOYS & GIRLS AID SOCIETY,760 MOUNTAIN VIEW ST,ALTADENA,In LA County,California,91001
213131,ADRIAN CHAVEZ,7536 BROOKMILL RD,DOWNEY,In LA County,California,90241
29044,"JOHN LISEE PUMPS, INC.",7516 GARFIELD AVE,BELL GARDENS,In LA County,California,90201
174861,316 ENGINEERING AND CONSTRUCTION INC,7434 GARVALIA AVE,ROSEMEAD,In LA County,California,91770
190074,MEDZ VENTURES INC,743 MILFORD ST,GLENDALE,In LA County,California,91203
190074,MEDZ VENTURES INC,743 MILFORD ST,GLENDALE,In LA County,California,91203
196036,HALTONE INC,7332 LAUREL CANYON BLVD,N HOLLYWOOD,In LA County,California,91605
503078,NEW DIRECTIONS FOR YOUTH,7315 LANKERSHIM BLVD,NORTH HOLLYWOOD,In LA County,California,91605
185192,"JONCICH STURM AND ASSOCIATES, INC.",727 SILVER SPUR RD,RLLNG HLS EST,In LA County,California,90274
56965,WOODS MAINTENANCE SERVICES INC,7250 COLDWATER CANYON AVE,NORTH HOLLYWOOD,In LA County,California,91605
56965,WOODS MAINTENANCE SERVICES INC,7250 COLDWATER CANYON AVE,NORTH HOLLYWOOD,In LA County,California,91605
173924,ALLIANCE FOR COMMUNITY EMPOWERMENT,7227 OWENSMOUTH AVE,CANOGA PARK,In LA County,California,91303
177303,"LA VERNE POWER EQUIPMENT, INC.",720 ARROW HWY,LA VERNE,In LA County,California,91750
120288,"SIMPSON & SIMPSON MANAGEMENT CONSULTING, INC",718 S. DATE AVE.,ALHAMBRA,In LA County,California,91803
120288,"SIMPSON & SIMPSON MANAGEMENT CONSULTING, INC",718 S DATE AVE STE A,ALHAMBRA,In LA County,California,91803
60682,CONVERSE PROFESSIONAL GROUP,717 S  MYRTLE AVENUE,MONROVIA,In LA County,California,91016
165571,"HONGJOO KIM LANDSCAPE ARCHITECTS, INC.",714 WEST OLYMPIC BLVD,LOS ANGELES,In LA County,California,90015
165571,"HONGJOO KIM LANDSCAPE ARCHITECTS, INC.",714 W OLYMPIC BLVD,LOS ANGELES,In LA County,California,90015
165571,"HONGJOO KIM LANDSCAPE ARCHITECTS, INC.",714 W OLYMPIC BLVD,LOS ANGELES,In LA County,California,90015
207065,SAMUEL E GORDON JR,708 E 53RD ST,LOS ANGELES,In LA County,California,90011
129509,MEDG INTERNATIONAL INC,701 SONORA AVE,GLENDALE,In LA County,California,91201
109817,"LEE ANDREWS GROUP, INC",700 S FLOWER ST STE 1275,LOS ANGELES,In LA County,California,90017
105081,COUNCIL FOR WATERSHED HEALTH,700 N. ALAMEDA ST.,LOS ANGELES,In LA County,California,90012
510739,MCM INTEGRATED SYSTEMS,6961 HAYVENHURST AVE,VAN NUYS,In LA County,California,91406
503235,OPTIMIST BOYS' HOME AND RANCH INC,6957 N FIGUEROA ST,LOS ANGELES,In LA County,California,90042
503235,OPTIMIST BOYS' HOME AND RANCH INC,6957 N FIGUEROA ST,LOS ANGELES,In LA County,California,90042
503235,OPTIMIST BOYS' HOME AND RANCH INC,6957 N FIGUEROA ST,LOS ANGELES,In LA County,California,90042
173924,ALLIANCE FOR COMMUNITY EMPOWERMENT,6925 CANOGA AVE,CANOGA PARK,In LA County,California,91303
508563,AAA RUBBISH INC,6920 FOSTER BRIDGE BLVD,BELL GARDENS CA,In LA County,California,90201
148659,HEALTHCARE STAFFING PROFESSIONALS INC,6914 CANBY AVENUE,RESEDA,In LA County,California,91335
169786,GREEN BUILDING CORPORATION,6913 ALCOVE AVE,N HOLLYWOOD,In LA County,California,91605
156188,GREEN TRANSLATIONS,6907 RUBIO AVE,LAKE BALBOA,In LA County,California,91406
152509,YAKAR,689 E SAN BERNARDINO RD,COVINA,In LA County,California,91723
114452,STERLING VAN LINES,6850 SUVA ST,BELL GARDENS,In LA County,California,90201
507051,HUMAN SERVICES ASSOCIATION,6800 FLORENCE AVE.,BELL GARDENS,In LA County,California,90201
192028,"MODERN TIMES, INC",680 E COLORADO BLVD,PASADENA,In LA County,California,91101
171667,CALCOMP GRAPHIC SOLUTIONS,6703 INTERNATIONAL AVE.,CYPRESS,Outside of LA County,California,90630
169346,"ADAPTCONN, INC.",6700 FALLBROOK AVENUE SUITE 100,WEST HILLS,In LA County,California,91307
119327,EMOTIONAL HEALTH ASSOCIATION,6666 GREEN VALLEY CIRCLE,CULVER CITY,In LA County,California,90230
169691,GC GREEN INCORPORATED,665 OPPER ST,ESCONDIDO,Outside of LA County,California,92029
172553,THE CENTER IN HOLLYWOOD,6636 SELMA AVE,LOS ANGELES,In LA County,California,90028
196241,"GO2ZERO STRATEGIES, LLC",6625 N CALLE EVA MIRANDA STE A,IRWINDALE,In LA County,California,91702
510868,JVS SOCAL,6505 WILSHIRE BLVD,LOS ANGELES,In LA County,California,90048
199953,INGLEWOOD WRAPPING ARMS AROUND THE COMMUNITY,650 E MANCHESTER BLVD,INGLEWOOD,In LA County,California,90301
139128,JOHN T CHAN ARCHITECTS INC,65 N 1ST AVE,ARCADIA,In LA County,California,91006
205477,G.IRL,649 E 136TH ST,LOS ANGELES,In LA County,California,90059
181518,"HOMEBOY RECYCLING, A CALIFORNIA SOCIAL PURPOSE CORPORATION",6433 CANNING ST,COMMERCE,In LA County,California,90040
38807,INTERNATIONAL RESTAURANT EQUIPMENT CO INC,6432 MOORE DR,LOS ANGELES,In LA County,California,90048
62367,SMA INC,642 MOULTON AVE,LOS ANGELES,In LA County,California,90031
519823,EDNET CAREER INST. INC.,6400 CANOGA AVE STE 121,WOODLAND HILLS,In LA County,California,91367
519823,EDNET CAREER INST. INC.,6400 CANOGA AVE,WOODLAND HLS,In LA County,California,91367
158449,DAWN MCKENNA,6391 E BIXBY HILL RD,LONG BEACH,In LA County,California,90815
209470,LIFE AND TIMES NETWORK INC.,637 E ALBERTONI ST,CARSON,In LA County,California,90746
209340,FLORES SERVICES,6365 ATLAS WAY,PALMDALE,In LA County,California,93552
144542,MORE PREPARED,635 HAWAII AVE,TORRANCE,In LA County,California,90503
203576,SIMPLE DISCOUNT FURNITURE LLC,6335 PACIFIC BLVD,HUNTINGTON PARK,In LA County,California,90255
503346,SIMPSON & SIMPSON LLP,633 WEST 5TH ST. STE 3320,LOS ANGELES,In LA County,California,90071
515310,THE LAGRANT GROUP,633 W 5TH ST FL 48,LOS ANGELES,In LA County,California,90071
33665,"LA BREA HEATING AND AIR CONDITIONING CO., INC.",6326 WEST BLVD,LOS ANGELES,In LA County,California,90043
120082,"LA BREA AIR, INC.",6326 WEST BLVD,LOS ANGELES,In LA County,California,90043
175802,KAIZER RANGWALA,6325 JACKIE AVE,WOODLAND HILLS,In LA County,California,91367
212130,FILM2FUTURE INC,6310 SAN VICENTE BLVD,LOS ANGELES,In LA County,California,90048
194487,RK INDUSTRIES GROUP INC.,631 S WALNUT ST,LA HABRA,Outside of LA County,California,90631
161716,WATEARTH,631 PHEASANT DR,LOS ANGELES,In LA County,California,90065
182709,TECHNOLOGY MARKETING & MANAGEMENT SERVICES,6303 CORSAIR STREET,LOS ANGELES,In LA County,California,90040
100151,LA CANADA DESIGN GROUP,630 N ROSEMEAD BLVD STE 400,PASADENA,In LA County,California,91107
200253,ANTELOPE VALLEY COMMUNITY UPLIFT FOUNDATION,626 W LANCASTER BLVD STE 61,LANCASTER,In LA County,California,93534
128230,MSH VENTURES CORP,6230 WILSHIRE BLVD STE 1197,LOS ANGELES,In LA County,California,90048
199860,RECREATE WASTE COLLABORATIVE LLC,623 W PACIFIC COAST HWY UNIT F,LONG BEACH,In LA County,California,90806
145309,AIR CLEAN ENVIRONMENTAL INC,6226 WHITTIER BLVD.,"LOS ANGELES, CA",In LA County,California,90022
145309,AIR CLEAN ENVIRONMENTAL INC,6226 WHITTIER BLVD,LOS ANGELES,In LA County,California,90022
170547,BRENNAN ESTIMATING SERVICES INC,6217 S. WASHINGTON AVE,WHITTIER,In LA County,California,90601
175087,FOUNTAINHEAD CONSULTING CORPORATION,621 PALOS VERDES DR W,PLS VRDS EST,In LA County,California,90274
175087,FOUNTAINHEAD CONSULTING CORPORATION,621 PALOS VERDES DR W,PLS VRDS EST,In LA County,California,90274
51881,FAR EAST LANDSCAPE & MAINTENANCE INC,6201 VAN NUYS BLVD,VAN NUYS,In LA County,California,91401
38345,WATERLINE TECHNOLOGIES INC,620 N SANTIAGO ST,SANTA ANA,Outside of LA County,California,92701
190624,NOT YOU MAMAS KITCHEN,6183 ATLANTIC AVE,LONG BEACH,In LA County,California,90805
198720,MIGHTY MADISON PROTECTION INC.,615 N OXFORD AVE,LOS ANGELES,In LA County,California,90004
182091,JT SITE SERVICES,615 N BENSON AVE,UPLAND,Outside of LA County,California,91786
191907,ANGEL CITY ADVISORS LLC,6141 BARROWS DR,LOS ANGELES,In LA County,California,90048
193297,UNITED GRILL VENTURES LLC,614 N ALTA DR,BEVERLY HILLS,In LA County,California,90210
181790,"ORRAVAN MECHANICAL, INC.",6134 FACULTY AVE,LAKEWOOD,In LA County,California,90712
196984,"BBD ADVANTAGE, INC",6112 WILKINSON AVE,N HOLLYWOOD,In LA County,California,91606
172405,ANDREA DAMIAN,"610 SOUTH MAIN STREET, PH105",LOS ANGELES,In LA County,California,90014
163451,CSDA DESIGN GROUP INC,610 E FRANKLIN AVE,EL SEGUNDO,In LA County,California,90245
171500,VCLOUD TECH INC.,609 DEEP VALLEY DRIVE SUITE 200,ROLLING HILLS ESTATES,In LA County,California,90274
171500,VCLOUD TECH INC.,609 DEEP VALLEY DRIVE SUITE 200,ROLLING HILLS ESTATES,In LA County,California,90732
171500,VCLOUD TECH INC.,609 DEEP VALLEY DR,RLLNG HLS EST,In LA County,California,90274
158233,RIVIERA INC,6080 CENTER DR,LOS ANGELES,In LA County,California,90045
60698,SOURCE PROMOTIONS INC,607 N. NASH ST.,LOS ANGELES,In LA County,California,90245
174941,"EVITARUS, INC.",6060 CENTER DR STE 62,LOS ANGELES,In LA County,California,90045
209611,ABVI LLC,6055 GARNET ST,RCH CUCAMONGA,Outside of LA County,California,91701
512124,LOS ANGELES CONSERVATION CORPS,"605 W. OLYMPIC BLVD., STE. 450",LOS ANGELES,In LA County,California,90015
200105,ANTHONY HOAG,6031 PINE AVE,ANGELUS OAKS,Outside of LA County,California,92305
517182,"J & S CIRCUIT BREAKERS, INC.",6024 E. OLYMPIC BLVD.,LOS ANGELES,In LA County,California,90022
197899,BIG AL'S MOTORS SALES AND SERVICES LLC,6022 REDMAN AVE,WHITTIER,In LA County,California,90606
188537,"BIRDS EYE AERIAL DRONES, LLC",6015 SARITA ST,LA MESA,Outside of LA County,California,91942
177135,THE ANTI-RECIDIVISM COALITION,601 N ALVARADO ST,LOS ANGELES,In LA County,California,90026
177135,THE ANTI-RECIDIVISM COALITION,601 N ALVARADO ST,LOS ANGELES,In LA County,California,90026
515310,THE LAGRANT GROUP,600 WILSHIRE BLVD STE 1610,LOS ANGELES,In LA County,California,90017
515310,THE LAGRANT GROUP,600 WILSHIRE BLVD STE 1610,LOS ANGELES,In LA County,California,90017
508085,"LINSCOTT, LAW & GREENSPAN ENG.",600 S LAKE AVE STE 500,PASADENA,In LA County,California,91106
508085,"LINSCOTT, LAW & GREENSPAN ENG.",600 S LAKE AVE,PASADENA,In LA County,California,91106
